Infinitiv,Präsens,Partizip II,Präteritum,Konjunktiv II,Übersetzung,Beschreibung,Kasus,Treffer Konjugations,Treffer Deutsch,Treffer Spanisch
binden,bindet,hat gebunden,bund,bünde,atar,-,AkkDat,0/0,0/0,0/0
singen,singt,hat gesungen,sang,sänge,cantar,-,-,0/0,0/0,0/0
leiden,leidet,hat gelitten,litt,litte,sufrir,-,Akk,0/0,0/0,0/0
schneiden,schneidet,hat geschnitten,schnitt,schnitte,cortar,-,Akk,0/0,0/0,0/0
reiten,reitet,ist geritten,ritt,röte,montar a caballo,-,-,0/0,0/0,0/0
schwimmen,schwimmt,ist geschwommen,schwamm,schwöm,nadar,-,-,0/0,0/0,0/0
fallen,fällt,ist gefallen,fiel,fiele,caer,-,-,0/0,0/0,0/0
hinfallen,fällt hin,ist hingefallen,fiel hin,fiele hin,caerse,-,-,0/0,0/0,0/0
danken,dankt,hat gedankt,dankte,dankte,agradecer,-,Dat,0/0,0/0,0/0
frühstücken,frühstückt,hat gefrühstückt,frühstückte,frühstückte,desayunar,-,Akk,0/0,0/0,0/0
schimpfen,schimpft,hat geschimpft,schimpfte,schimpfte,regañar,-,Akk,0/0,0/0,0/0
notieren,notiert,hat notiert,notierte,notierte,anotar,-,Akk,0/0,0/0,0/0
ausführen,führt aus,hat ausgeführt,führte aus,führte aus,realizar/pasear,-,Akk,0/0,0/0,0/0
gebären,gebärt,hat geboren,gebar,gebäre,parir,-,Akk,0/0,0/0,0/0
heiraten,heiratet,hat geheiratet,heiratete,heiratete,casarse,-,Akk,0/0,0/0,0/0
entscheiden,entscheidet,hat entschieden,entschied,entschieden,decidir,general,Akk,0/0,0/0,0/0
beschließen,beschließt,hat beschlossen,beschloss,beschlösse,decidir,tomar una decisión final,Akk,0/0,0/0,0/0
sterben,stirbt,ist gestorben,starb,stürbe,morir,-,-,0/0,0/0,0/0
kochen,kocht,hat gekocht,kochte,kochte,cocinar,-,Akk,0/0,0/0,0/0
zerbrechen,zerbricht,hat zerbrochen,zerbrach,zerbräche,romper,romper en pedazos,Akk,0/0,0/0,0/0
abbrechen,bricht ab,hat abgebrochen,brach ab,bräche ab,interrumpir,interrumpir o suspender algo,Akk,0/0,0/0,0/0
schneien,schneit,hat geschneit,schneite,schneite,nevar,-,Akk,0/0,0/0,0/0
bauen,baut,hat gebaut,baute,baute,construir,-,Akk,0/0,0/0,0/0
bedeuten,bedeutet,hat bedeutet,bedeutete,bedeutete,significar,-,Akk,0/0,0/0,0/0
diskutieren,diskutiert,hat diskutiert,diskutierte,diskutierte,discutir,-,Akk,0/0,0/0,0/0
duschen,duscht,hat geduscht,duschte,duschte,duchar,-,Akk,0/0,0/0,0/0
ergänzen,ergänzt,hat ergänzt,ergänzte,ergänzte,completar,-,Akk,0/0,0/0,0/0
funktionieren,funktioniert,hat funktioniert,funktionierte,funktionierte,funcionar,-,Akk,0/0,0/0,0/0
glauben,glaubt,hat geglaubt,glaubte,glaubte,creer,-,Akk,0/0,0/0,0/0
gucken,guckt,hat geguckt,guckte,guckte,mirar,fijarse,Akk,0/0,0/0,0/0
schauen,schaut,hat geschaut,schaute,schaute,mirar,general,Akk,0/0,0/0,0/0
informieren,informiert,hat informiert,informierte,informierte,informar,-,Akk,0/0,0/0,0/0
berichten,berichtet,hat berichtet,berichtete,berichtete,informar,-,Akk,0/0,0/0,0/0
melden,meldet,hat gemeldet,meldete,meldete,informar,-,Akk,0/0,0/0,0/0
