Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
r,Apfel,-,⸚,-,Manzana,-,0/0 11-02-24,1/1 14-02-25
e,Brombeere,-,-n,-,Zarzamora,-,0/0 11-02-24,0/0 11-02-24
e,Erdbeere,-,-n,-,Fresa,-,0/0 11-02-24,0/0 11-02-24
e,Birne,-,-n,-,Pera,-,0/0 11-02-24,0/0 11-02-24
e,Orange,-,-n,-,Naranja,-,0/0 11-02-24,1/1 15-02-25
e,Feige,-,-n,-,Higo,-,0/0 11-02-24,0/0 11-02-24
e,Ananas,-,-se,-,Piña,-,0/0 11-02-24,1/2 11-02-24
e,Zuckermelone,-,-n,-,Melón,-,1/2 11-02-24,0/0 11-02-24
e,Wassermelone,-,-n,-,Sandía,-,0/0 11-02-24,1/2 11-02-24
e,Traube,-,-n,-,Uva,-,0/0 11-02-24,0/0 11-02-24
e,Weintraube,-,-n,-,Uva,-,1/2 11-02-24,0/0 11-02-24
e,Banane,-,-n,-,Plátano,-,0/0 11-02-24,0/0 11-02-24
e,Plantainbanane,-,-n,-,Plátano macho,-,0/0 11-02-24,0/0 11-02-24
e,Zitrone,-,-n,-,Limón,-,0/0 11-02-24,1/1 13-02-25
e,Pflaume,-,-n,-,Ciruela,-,1/2 11-02-24,0/0 11-02-24
e,Tomate,-,-n,-,Tomate,-,0/0 11-02-24,0/0 11-02-24
e,Kartoffel,-,-n,-,Papa,-,1/1 11-02-24,0/0 11-02-24
e,Karotte,-,-n,-,Zanahoria,-,0/0 11-02-24,0/0 11-02-24
e,Zwiebel,-,-n,-,Cebolla,-,1/2 11-02-24,1/2 14-02-25
e,Gurke,-,-n,-,Pepino,-,0/0 11-02-24,0/0 11-02-24
e,Paprika,-,-s,-,Chile,-,0/0 11-02-24,0/0 11-02-24
r,Jalapeño-Chili,-,-s,-,Chile jalapeño,-,0/0 11-02-24,1/3 14-02-25
e,Bohne,-,-n,-,Frijol,-,2/4 11-02-24,0/0 11-02-24
e,Kokosnuss,-,⸚e,-,Coco,-,0/0 11-02-24,0/0 11-02-24
r,Granatapfel,-,⸚,-,Granada,-,0/0 11-02-24,1/2 11-02-24
e,Mango,-,-s,-,Mango,-,0/0 11-02-24,1/2 11-02-24
e,Papaya,-,-s,-,Papaya,-,0/0 11-02-24,0/0 11-02-24
e,Grapefruit,-,-s,-,Toronja,-,0/0 11-02-24,0/0 11-02-24
e,Auberine,-,-n,-,Berenjena,-,0/0 11-02-24,0/0 11-02-24
r,Kürbis,-,-se,-,Calabaza,-,1/2 11-02-24,0/0 11-02-24
e,Tomatillo,-,-s,-,Tomatillo,-,1/2 14-02-25,2/4 14-02-25
s,Radieschen,-,-,-,Rábano,-,0/0 11-02-24,0/0 11-02-24
e,Avocado,-,-s,-,Aguacate,-,0/0 11-02-24,0/0 11-02-24
r,Sellerie,-,-,-,Apio,-,0/0 11-02-24,0/0 11-02-24
e,Chayote,-,-n,-,Chayote,-,0/0 11-02-24,0/0 11-02-24
e,Olive,-,-n,-,Aceituna,-,1/1 11-02-24,1/2 11-02-24
r,Friséesalat,-,-e,-,Lechuga francesa,-,0/0 11-02-24,1/3 11-02-24
e,Frühlingszwiebel,-,-n,-,Cebollín,-,0/0 11-02-24,1/3 14-02-25
r,Koblauch,-,-,-,Ajo,-,0/0 11-02-24,0/0 11-02-24
r,Knopfsalat,-,-e,-,Lechuga orejona,-,1/2 14-02-25,0/0 11-02-24
r,Spargel,-,-,-,Espárrago,-,1/2 14-02-25,1/2 14-02-25
e,Zucchini,-,-s,-,Calabacita,-,0/0 11-02-24,0/0 11-02-24
e,Zuckerschote,-,-n,-,Ejote,-,0/0 11-02-24,0/0 11-02-24
s,Ei,-,-er,-,Huevo,-,0/0 11-02-24,0/0 11-02-24
s,Hähnchen,-,-,-,Pollo,-,0/0 11-02-24,1/3 14-02-25
s,Taxi,-,-s,-,Taxi,-,0/0 11-02-24,0/0 11-02-24
-,Frisör,Frisöse,-e,-n,Peluquero(a),-,1/2 11-02-24,0/0 11-02-24
r,Hamburger,-,-,-,Hamburguesa,-,0/0 11-02-24,0/0 11-02-24
r,Kuchen,-,-,-,Pastel,-,0/0 11-02-24,1/1 11-02-24
s,Eis,-,-,-,Helado,-,0/0 11-02-24,1/1 14-02-25
e,Pizza,-,-s,-,Pizza,-,1/1 11-02-24,1/1 14-02-25
s,Bier,-,-e,-,Cerveza,-,1/1 11-02-24,0/0 11-02-24
s,Wasser,-,-,-,Agua,-,2/2 14-02-25,2/2 11-02-24
s,Mineralwasser,-,-,-,Agua mineral,-,1/1 11-02-24,1/1 14-02-25
s,Brot,-,-e,-,Pan,-,0/0 11-02-24,0/0 11-02-24
s,Marmeladebrot,-,-e,-,Pan con mermelada,-,1/2 14-02-25,2/2 15-02-25
s,Schwarzbrot,-,-e,-,Pan negro,-,0/0 11-02-24,1/2 14-02-25
s,Fleisch,-,-,-,Carne,-,0/0 11-02-24,2/2 15-02-25
s,Gemüse,-,-,-,Verdura,-,0/0 11-02-24,1/2 11-02-24
s,Obst,-,-,-,Fruta,-,0/0 11-02-24,1/2 11-02-24
s,Getränk,-,-e,-,Bebida,-,0/0 11-02-24,0/0 11-02-24
s,Essen,-,-,-,Comida,-,0/0 11-02-24,0/0 11-02-24
s,Mittagessen,-,-,-,Almuerzo,-,0/0 11-02-24,0/0 11-02-24
s,Frühstück,-,-e,-,Desayuno,-,0/0 11-02-24,1/2 11-02-24
s,Abendessen,-,-,-,Cena,-,2/3 11-02-24,0/0 11-02-24
s,Cola,-,-s,-,Refresco,-,0/0 11-02-24,0/0 11-02-24
r,Wein,-,-e,-,Vino,-,1/1 15-02-25,1/1 11-02-24
r,Rotwein,-,-e,-,Vino tinto,-,0/0 11-02-24,0/0 11-02-24
r,Saft,-,⸚e,-,Jugo,-,0/0 11-02-24,1/1 14-02-25
r,Orangensaft,-,-e,-,Jugo de naranja,-,0/0 11-02-24,1/1 11-02-24
r,Käse,-,-,-,Queso,-,0/0 11-02-24,0/0 11-02-24
r,Fisch,-,-e,-,Pescado,-,2/2 11-02-24,0/0 11-02-24
e,Jacke,-,-n,-,Chamarra,-,0/0 11-02-24,1/2 11-02-24
e,Suppe,-,-n,-,Sopa,-,0/0 11-02-24,1/1 11-02-24
e,Rindfleischsuppe,-,-n,-,Sopa de carne de vaca,-,0/0 11-02-24,0/0 11-02-24
